,s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,notes,pl,si,va,te,co,or,sh,po,li,ar,re,sp,ma,ki,rf,tx
0,2,Giorgio de Chirico,The Uncertainty of the Poet ,surrealism,Tate,Italy,False,painting,"painting, oil on canvas",106 x 94 cm,1913,"distorted perspective, shadow, signification of objects, emptiness. relative sizes",2,2,3,0,0,4,3,0,0,5,5,0,False,False,False,False
1,3,Giovanni Anselmo,Direction,arte povera,Tate,Italy,False,sculpture,"sculpture, fabric, glass & metal",24 x 420 x 335 cm,1967,"hard to understand the viewpoint, sense of force & what is acting on the material",4,3,1,3,0,3,2,0,0,5,5,5,False,False,False,False
2,4,Milton Avery,Yellow Sky ,modernism,Tate,America,False,painting,"painting, oil on canvas",156 x 184 cm,1958,"flatish, textured shapes & specific colors-linked to distortion of landscape. Early Moderism, little less about uncertainty, more to do w/ ambiguity",3,0,2,4,4,2,4,0,0,5,5,0,False,False,False,False
3,5,Gillian Avery,Distillation,abstraction,Tate,UK,False,painting,"painting, oil, household paint on hardboard",213 x 152 cm,1957,"shapes, layers, paint handlng/texture, orientation/placement/decreasing size descending down to left bottom of canvas; abstract, ambiguous",4,3,1,2,0,2,4,0,0,5,0,3,False,False,False,False
4,6,Joseph (Jef) Banc,Pair-Bearing Matrix ,abstraction,Tate,France,False,painting,"painting, mixed media on canvas",73 x 60 cm,1956,"ambiguity through abstraction, odd shape, v textural",1,0,1,4,1,0,4,0,0,5,0,0,False,False,False,False
5,7,Fiona Banner,Break Point ,conceptual,Tate,UK,True,painting,"painting, marker pen, acrylic on canvas",274 x 427 x 6 cm,1998,"ambiguity to do with reading text: placement of rows & of letters placed closer tog. further down, overlapping, textural handmade quality. Uncertainty occurs where the letters run over each other and the lines get denser the further down you go, to a point of being unable to read the words",5,3,1,2,0,0,0,0,5,0,0,0,False,False,False,True
6,8,Thomas Barker of Bath,The Woodman and his Dog in a Storm ,representation,Tate,UK,False,painting,"painting, oil on canvas",236 x 149 cm,1787,"dark values, both pairs of eyes fixed on object out of canvas",2,0,4,1,0,4,1,0,0,5,5,0,False,False,False,False
7,9,Uta Barth,Field #20 ,conceptual,Tate,Germany,False,photography,"photo, digital print w/ acrylic on canvas",346 x 416 cm,1997,"v pixelated, very, very large photo; texture:pixelation. Uncertainty in the lack of clarity of the image, the photo is huge and the out of focus pixellation is dominant. The street lamps are eaten into because of the pixellation, overall it has a fairly consistent value (not starkly b & w), value & pixellation changes the sense of space. If this was a crisp, focused photo, it would feel very different",1,0,1,5,0,0,1,0,0,5,5,3,False,False,False,False
8,10,Willi Baumeister,Untitled (Suspended Lines I) ,abstraction,Tate,Germany,False,print,"print, lithograph on paper",26 x 21 cm,1953,"lines don't meet, orientation of lines creates spatial effect, overlapping, space inbetween, diff weights of line, hard to work out what the lines describe",3,0,1,1,0,4,3,0,5,0,0,0,False,False,False,False
9,11,Larry Bell,Untitled ,postminimal,Tate,United States,False,installation,"installation,sculpture, coated glass",188 x 549 x 244 cm,1971,"coating on glass greater at base, fragility of material, reflective properties, change in value on glass makes surface change from presence to almost not there. Value change on the glass from bottom to top changes the surface of the glass and makes it seem to somewhat float. If the glass didn't have this change in value, there would be much less a sense of uncertainty",2,1,5,3,0,0,1,0,0,5,0,5,False,False,True,False
10,12,Hans Bellmer,The Doll ,surrealism,Tate,Germany,False,photography,"photo, gelatin silver print on paper",24 x 24 cm,1936,"viewpoint looking up at doll w/ no arms, legs on pole, disturbing, viewer is uncertain what it represents/ is about",3,0,3,1,0,4,4,0,0,0,5,3,False,False,False,False
11,13,Frédéric Benrath,Untitled,abstraction,Tate,France,False,print,"print, lithograph on paper",43 x 29 cm,1956,"visceral, overlapping scratched, textural lines, massed in one area, weird hair-like textural qualty of lines, hard to tell what this texture is",3,0,3,5,0,1,1,0,5,3,0,0,False,False,False,False
12,14,Jyoti Bhatt,Baroda ,modernism,Tate,India,False,photography,"photo, gelatin silver print on paper",24 x 61 cm,1983,"2 images, angled light, strong contrast making it hard to read, quality of tones, repetition & difference",4,0,4,0,0,1,2,0,0,5,5,0,False,False,False,False
13,15,Richard Billingham,Arrow ,representation,Tate,UK,False,photography,"photo, chromogenic print on paper",51 x 76 cm,2000,"slightly pixelated, partially out of focus floor creates strange space, takes away the certainty of the ground",3,1,2,5,1,1,0,0,0,5,5,3,False,False,False,False
14,16,Rut Blees Luxemburg,Viewing the Open,conceptual,Tate,Germany,False,photography,"photo, paper mounted onto aluminium",150 x 242 cm,1999,"depiction of empty space at night w/ eerie, odd light & color",2,1,4,2,4,0,1,0,0,5,5,3,False,False,False,False
15,17,Sandra Blow,Space and Matter ,abstraction,Tate,UK,False,painting,"painting, oil on hardboard",152 x 123 cm,1959,"uncertain shapes, textures & spaces, overlapping, different scales, brush marks & handdrawn lines",4,0,1,4,0,1,4,0,3,5,0,3,False,False,False,False
16,18,Mel Bochner,Language is not transparent ,conceptual,Tate,America,True,drawing,"drawing, ink on paper",25 x 18 cm,1969,"angled repeated sentence; content plays a part in addition to overlapping, placement & the materials. Uncertainty is predominately through orientation of the sentences and their subsequent overlapping, without the varied orientation, this would not communicate a jumbled sense of sentences piled up on each other",3,0,2,1,0,5,0,0,5,0,0,0,False,False,False,True
17,19,Jonathan Borofsky,"Man with Briefcase at 2,756,805 ",postmod,Tate,America,True,drawing,"drawing, ink on paper",30 x 21 cm,1980,"silhouette of man carrying briefcase w/ number on it, placed off-center w/in empty space - stark, unmoored - ambiguous. What is this about? The exact outline of the flat dark shape on the empty ground is vital to creating uncertainty, make the shape more understandable and the piece would change in feel.",2,0,3,0,0,0,5,0,0,5,5,0,False,False,False,True
18,20,Derek Boshier ,The Identi-Kit Man ,pop art,Tate,UK,False,painting,"painting, oil on canvas",183 x 183 cm,1962,"more about ambiguity, collage effect, different sizes, collage combinations, hard to understand",4,4,1,2,0,1,4,0,3,5,5,0,False,False,False,False
19,21,Boyd and Evans,The Wall ,representation,Tate,UK,False,painting,"painting, acrylic on canvas",91 x 137 cm,1986,"hyper-realist, telling story but difficult to understand, certain mood, sense of waiting, figure with back to viewer gazing into deep space, expanse of wall on right",4,2,1,0,0,1,4,0,0,5,5,3,False,False,False,False
20,22,Georges Braque,Bottle and Fishes,cubism,Tate,France,False,painting,"painting, oil on canvas",62 x 75 x 2 cm,1910,"multiple thick parallel lines w/ specific create angular shapes/planes, different orientations, can't quite read where the end of one object is & beginning of another, split up space, strong values w/ wide range w/in each facet/plane",3,0,4,3,0,3,4,0,5,5,3,3,False,False,False,False
21,23,Adam Broomberg & Oliver Chanarin ,Political 1 sheet 19 ,conceptual,Tate,South Africa & UK,False,photography,"photo, digital print on paper",150 x 190 cm,2010,"red circle on sourced photo, strange combination, strange photo, relative sizes of circle & plastic milk cartons, impending splash of milk in air",4,3,2,2,1,0,4,0,0,5,5,3,False,False,False,False
22,24,Cecily Brown,Trouble in Paradise ,representation,Tate,UK,False,painting,"painting, oil on canvas",191 x 229 x 5 cm,1999,"chaotic accumulation of lines in all directions, thick paint, semi-rep. areas squashed in by textural lines, hybrid biomorphic forms, textural brushwork, viscous paintly gestures",1,0,1,4,0,2,4,0,5,5,3,0,False,False,False,False
23,25,Luis Camnitzer,Leftovers,conceptual,Tate,Germany/Uruguay,True,installation,"installation, cardboard boxes, gauze, polyvinyl acetate",203 x 323 x 20 cm,1970,"uncertainty in terms of content, word 'leftovers' - what do these numbered boxes contain, what are the red stains",4,1,0,4,4,0,4,0,0,5,0,5,False,False,False,True
24,26,James Casebere,Blue Hallway ,conceptual,Tate,America,False,photography,photo,243 x 196 cm,2000,"Photo is of a table-top model of a flooded room - uncertainty about what it is. Reflected lines in 'water', emptiness. ",4,0,4,0,0,0,4,0,0,5,5,3,False,False,True,False
